"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","Тесты создания курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestCreateCourier","test_create_courier","",""
"","28","Тест неуспешный логин курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestLoginCourier","test_login_courier","",""
"","22","Тесты создания курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestCreateCourier","test_create_courier","",""
"","233","Тест успешный логин курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestLoginCourier","test_login_courier","",""
"","27","Тест создания заказа","tests.orders","Wed Jun 25 20:37:59 MSK 2025","passed","Wed Jun 25 20:37:59 MSK 2025","TestOrders","test_orders","",""
"","67","Тест неуспешный логин курьера","tests.couriers","Wed Jun 25 20:37:58 MSK 2025","passed","Wed Jun 25 20:37:58 MSK 2025","TestLoginCourier","test_login_courier","",""
"","19","Тест неуспешный логин курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestLoginCourier","test_login_courier","",""
"","43","Положительный тест удаления курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestCreateCourier","test_delete_courier","",""
"","30","Тесты создания курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestCreateCourier","test_create_courier","",""
"","63","Тест создания заказа","tests.orders","Wed Jun 25 20:37:59 MSK 2025","passed","Wed Jun 25 20:37:59 MSK 2025","TestOrders","test_orders","",""
"","16","Тесты создания курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestCreateCourier","test_create_courier","",""
"","24","Тесты создания курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestCreateCourier","test_create_courier","",""
"","94","Тест получения заказов курьера","tests.orders","Wed Jun 25 20:37:59 MSK 2025","passed","Wed Jun 25 20:37:59 MSK 2025","TestOrders","test_orders","",""
"","33","Тест создания заказа","tests.orders","Wed Jun 25 20:37:59 MSK 2025","passed","Wed Jun 25 20:37:59 MSK 2025","TestOrders","test_orders","",""
"","60038","Тест неуспешный логин курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:37:58 MSK 2025","TestLoginCourier","test_login_courier","",""
"","19","Тест неуспешный логин курьера","tests.couriers","Wed Jun 25 20:36:58 MSK 2025","passed","Wed Jun 25 20:36:58 MSK 2025","TestLoginCourier","test_login_courier","",""
